,name,tl_x,tl_y,br_x,br_y,type,center,side,board,offset_x,offset_y,time
23,646vaB,79.41,124.76,80.70,133.48,0,0,0,0,0,0,0.112488
24,VQhg1X,64.53,10.81,66.58,12.64,0,0,0,0,0,0,0.03751499999999999
25,uZ0RaE,145.47,15.66,146.53,27.69,0,0,0,0,0,0,0.127518
26,DJLLGm,24.01,44.56,37.51,50.79,0,0,0,0,0,0,0.8410500000000001
27,xB8Wv2,130.21,90.33,134.62,100.40,0,0,0,0,0,0,0.444087
28,OuMa0Z,11.36,0.00,16.99,14.83,0,0,0,0,0,0,0.834929
29,2JV2xN,65.67,124.76,68.51,131.95,0,0,0,0,0,0,0.204196
30,lbd2aG,15.87,113.31,20.92,116.63,0,0,0,0,0,0,0.16765999999999998
31,xfapeN,131.15,112.69,141.06,114.58,0,0,0,0,0,0,0.187299
32,3msLXl,23.00,124.76,24.45,126.01,0,0,0,0,0,0,0.018125
33,Bw299j,110.20,20.62,122.97,27.24,0,0,0,0,0,0,0.8453740000000001
34,svROjj,0.00,68.67,2.49,69.79,0,0,0,0,0,0,0.027888000000000007
35,iQowz3,130.26,68.72,136.82,75.78,0,0,0,0,0,0,0.46313599999999994
36,tPCivA,45.66,31.04,48.34,37.64,0,0,0,0,0,0,0.17687999999999998
37,pIbuIo,28.20,70.73,39.28,79.12,0,0,0,0,0,0,0.9296120000000001
38,eeScKC,122.07,111.78,127.72,118.34,0,0,0,0,0,0,0.37064
39,WrlQ7l,140.26,118.43,147.16,119.45,0,0,0,0,0,0,0.07038
40,rAvibH,88.64,107.82,93.01,118.44,0,0,0,0,0,0,0.464094
41,RFpreX,0.00,8.66,4.86,12.79,0,0,0,0,0,0,0.200718
42,bEKGP2,33.17,0.00,35.91,7.66,0,0,0,0,0,0,0.20988400000000001
43,hV3kQg,160.30,30.85,161.50,35.58,0,0,0,0,0,0,0.056760000000000005
44,6LzMRP,139.01,123.48,140.08,126.51,1,0,0,0,0,0,0.032421
45,HrUIMz,160.00,39.00,169.40,40.34,0,1,0,0,0,0,0.12596000000000002
46,x5lEFY,155.39,18.68,168.74,20.03,0,0,1,0,0,0,0.180225
47,wKvt2u,48.42,16.46,58.81,20.93,0,0,0,0,0,0,0.464433
48,J7vjo5,109.81,13.87,112.58,17.72,0,0,0,0,0,0,0.106645
49,xG9lNE,76.09,110.65,80.50,112.24,0,0,0,0,0,0,0.070119
50,qwpquk,124.82,54.78,127.69,58.16,0,0,0,0,0,0,0.097006
51,Hfs0Vc,148.45,112.00,149.70,115.93,0,0,0,0,0,0,0.049125
52,xc3fbm,15.81,120.11,20.59,134.12,0,0,0,0,0,0,0.669678
53,hf8jGb,60.05,60.75,62.55,61.79,0,0,0,0,0,0,0.026000000000000002
54,oWAeN4,21.01,25.54,26.56,36.94,0,0,0,0,0,0,0.6327
55,EUBiPu,0.00,0.00,5.76,2.23,0,0,0,0,0,0,0.128448
56,X6Ufjm,136.39,89.50,147.04,95.16,0,0,0,0,0,0,0.60279
57,fUbiAj,150.38,20.09,153.57,21.10,0,0,0,0,0,0,0.032219
58,h6SUQ8,154.44,53.88,155.74,57.85,0,0,0,0,0,0,0.05161
59,nwHCr1,0.77,46.56,15.69,56.69,0,0,0,0,0,0,1.511396
60,p83Ym2,137.09,101.75,148.89,104.00,0,0,0,0,0,0,0.2655
61,NTpb6k,30.81,90.72,38.52,91.77,0,0,0,0,0,0,0.080955
62,coVMfN,50.26,30.56,53.65,38.61,0,0,0,0,0,0,0.27289500000000005
63,mW0uaJ,132.22,42.80,143.95,43.87,0,0,0,0,0,0,0.125511
64,VWLMpn,160.00,3.06,172.98,4.66,0,0,0,0,0,0,0.20768
65,U0CKq2,160.77,100.49,161.83,102.04,0,0,0,0,0,0,0.016430000000000004
66,Uw5ju9,160.00,124.76,162.79,129.24,0,0,0,0,0,0,0.12499200000000002
67,6pt9YY,66.62,19.85,68.92,21.44,0,0,0,0,0,0,0.03657
68,gBC4as,134.97,0.00,136.47,12.41,0,0,0,0,0,0,0.18615
69,ROSvtR,148.37,64.47,158.02,69.62,0,0,0,0,0,0,0.49697500000000006
70,KAbZIh,59.97,76.88,63.53,82.28,0,0,0,0,0,0,0.19224
71,LtA5Sh,128.60,111.23,138.28,112.36,0,0,1,0,0,0,0.10938399999999998
72,OpKq5v,159.44,52.31,162.16,60.55,0,0,0,0,0,0,0.224128
73,Wu98Mf,30.56,18.96,31.67,19.97,0,0,0,0,0,0,0.011211000000000002
74,MI9zqG,29.24,82.65,34.09,85.01,0,1,0,0,4.9051160501131665,1.0010057626863333,0.11445999999999998
75,2yDr8U,25.85,117.39,33.46,126.60,0,0,0,0,0,0,0.7008810000000001
76,vSl1Xb,50.89,70.45,51.89,73.40,0,0,0,0,0,0,0.029500000000000002
77,pwwniG,79.20,95.08,91.17,96.42,0,0,0,0,0,0,0.16039800000000004
78,imnQjT,1.31,76.70,3.28,79.55,0,0,0,0,0,0,0.05614500000000001
79,3PhsmI,40.61,4.07,41.67,13.21,0,0,0,0,0,0,0.09688400000000001
80,Ayafoh,100.65,80.85,106.91,94.19,0,0,0,0,0,0,0.8350839999999999
81,iig87s,22.71,99.55,35.72,100.73,0,0,0,0,0,0,0.153518
82,Yf2tDN,10.82,70.07,23.28,72.74,0,0,0,0,0,0,0.332682
83,aY6dRN,22.36,111.78,25.16,119.39,0,0,0,0,0,0,0.21308
84,eAgzA0,160.00,66.24,165.14,67.76,0,0,0,0,0,0,0.07812799999999999
85,3KfVpA,110.78,40.12,111.94,42.10,0,0,0,0,0,0,0.022968
86,5cipZ1,32.96,106.16,36.23,107.17,1,0,0,0,0,0,0.033027
87,plPSJq,100.66,30.57,106.97,35.89,0,0,0,0,0,0,0.33569200000000005
88,sMv840,143.96,0.00,145.83,10.26,0,0,0,0,0,0,0.191862
89,vuUX0W,160.00,22.04,172.62,26.52,0,0,0,0,0,0,0.5653760000000001
90,IvIlDs,102.58,49.29,106.88,54.92,0,0,0,0,0,0,0.24209
91,lZqwYI,133.46,124.76,136.09,132.99,0,0,0,0,0,0,0.216449
92,pV10sT,49.16,88.11,56.68,92.18,0,0,0,0,0,0,0.306064
93,bNsaMh,107.20,22.63,108.83,23.64,0,0,0,0,0,0,0.016463
94,kOpoxB,142.20,54.65,146.66,66.93,0,0,0,0,0,0,0.547688
95,1paEHz,23.44,10.74,24.84,15.49,0,0,0,1,0,0,0.06649999999999999
96,NpVyP1,51.53,21.65,53.57,24.42,0,0,0,0,0,0,0.056508
97,OkRVzg,135.34,95.26,139.57,96.92,0,0,0,0,0,0,0.070218
98,9H67rl,1.02,124.76,14.25,133.25,0,0,0,0,0,0,1.1232270000000002
99,unzOMu,53.71,119.31,54.74,125.94,0,0,0,0,0,0,0.068289
100,QbofBL,127.43,106.99,128.43,108.30,0,0,0,0,0,0,0.0131
101,w9FHuC,0.00,25.62,5.24,28.44,0,0,0,0,0,0,0.147768
102,y1fiDN,129.91,31.93,137.42,41.80,0,0,0,0,0,0,0.7412369999999998
103,ONeEz5,28.77,102.10,41.86,103.25,0,0,1,0,0,0,0.15053499999999997
104,SlPCaW,0.00,105.37,10.81,106.58,0,0,0,0,0,0,0.130801
105,tIRp8L,147.60,48.33,156.85,51.20,0,0,0,0,0,0,0.265475
106,0MPQGi,80.74,120.63,93.00,123.48,0,0,0,0,0,0,0.34941
107,5V5fsD,50.40,124.74,51.40,127.09,0,0,0,0,0,0,0.0235
108,Mne3jB,85.24,111.70,87.30,117.65,0,0,1,0,0,0,0.12257000000000001
109,Dcn399,80.24,80.43,87.93,86.68,0,0,0,0,0,0,0.480625
110,OcJEvJ,60.68,100.51,66.66,102.61,0,0,0,0,0,0,0.12558000000000002
111,lGBlfu,160.00,106.61,161.12,119.80,0,0,0,0,0,0,0.147728
112,R84yxJ,70.58,50.75,79.25,53.84,0,0,0,0,0,0,0.267903
113,cxIn5e,70.32,110.59,72.58,111.67,0,0,0,0,0,0,0.024408
114,owafCZ,151.78,124.76,155.03,138.71,0,0,0,0,0,0,0.453375
115,TSEQDW,120.67,90.13,124.06,95.38,0,0,0,0,0,0,0.177975
116,IEtgpM,116.06,78.26,117.07,80.09,0,0,0,0,0,0,0.018483
117,Q7EJov,110.33,90.45,117.80,92.92,0,0,1,0,0,0,0.184509
118,FCJunf,50.22,40.39,53.25,42.95,0,0,0,0,0,0,0.077568
119,DBNIDU,130.25,44.19,131.46,56.79,0,0,0,0,0,0,0.15245999999999998
120,jb6l9H,76.36,100.70,78.48,102.52,0,0,1,0,0,0,0.03858400000000001
121,JB5Akc,117.06,110.25,118.24,111.87,0,0,0,0,0,0,0.019116
122,4MMINS,8.62,31.01,19.09,42.43,0,0,0,0,0,0,1.1956740000000001
123,6UpUol,131.72,55.95,132.72,57.31,0,0,0,0,0,0,0.013600000000000001
124,3sVUzq,112.81,45.23,116.34,55.28,0,0,0,0,0,0,0.354765
125,Kc3Vlh,145.03,28.12,146.52,29.48,0,0,0,0,0,0,0.020264
126,wHOTHE,90.59,50.91,93.01,59.26,0,0,0,0,0,0,0.20206999999999997
127,RtSLoc,41.01,73.57,42.04,74.64,0,0,0,0,0,0,0.011021000000000001
128,9HH0rM,46.79,124.76,49.03,125.81,0,0,0,0,0,0,0.023520000000000003
129,YLq9AH,96.00,104.95,101.35,112.87,0,0,0,0,0,0,0.42372
130,xk40No,136.91,11.61,138.63,16.69,0,0,0,0,0,0,0.08737600000000001
131,kvP8P2,10.73,20.20,16.60,27.39,0,0,0,0,0,0,0.422053
132,S4FI7o,120.55,80.46,133.49,88.20,0,0,0,0,0,0,1.001556
133,4AxVJv,160.00,36.23,166.78,38.53,0,0,0,0,0,0,0.15594
134,y0HjJA,50.53,80.09,54.15,81.14,0,0,0,0,0,0,0.03801
135,QFMQSy,69.89,47.20,73.52,48.69,0,0,1,0,0,0,0.054086999999999996
136,teMS06,86.61,124.76,87.61,134.32,0,0,0,0,0,0,0.0956
137,IYS4LA,82.35,31.45,84.52,32.99,0,0,0,0,0,0,0.033418
138,Vs7oPL,146.54,108.06,148.10,115.47,0,0,0,0,0,0,0.11559600000000002
139,nwIG8C,160.00,46.80,162.83,48.13,0,0,0,0,0,0,0.037639000000000006
140,QlGfM9,135.86,120.04,147.70,121.11,0,0,0,0,0,0,0.12668800000000002
141,u8bvAI,28.06,56.99,37.45,64.74,0,0,0,0,0,0,0.7277250000000001
142,GOwSjq,40.45,0.39,42.64,1.54,0,0,0,0,0,0,0.025185
143,WDFJlt,147.89,124.76,149.27,127.08,0,0,0,0,0,0,0.032015999999999996
144,4Vgxhh,48.56,2.71,58.89,9.92,0,0,0,0,0,0,0.7447929999999999
145,70a9Nd,40.12,66.48,41.31,72.06,0,0,0,0,0,0,0.066402
146,SySBD8,58.74,50.19,69.43,55.79,0,0,0,0,0,0,0.59864
147,rVr818,158.20,44.35,159.21,46.05,0,0,0,0,0,0,0.017169999999999998
148,SqfIqx,121.87,69.85,123.06,71.11,0,0,0,0,0,0,0.014993999999999999
149,lQ1WPD,0.00,119.46,13.56,120.71,0,0,0,0,0,0,0.16949999999999998
150,lFxhnM,55.91,110.63,62.61,113.56,0,0,0,0,0,0,0.19631
151,ZERDA5,150.34,70.69,154.72,72.22,0,0,0,0,0,0,0.06701399999999999
152,dbdxyc,20.24,20.37,22.61,21.42,0,0,0,0,0,0,0.024885
153,a3U2qD,160.06,10.60,170.59,12.73,0,0,1,0,0,0,0.224289
154,vTZjFg,121.00,101.72,122.02,106.87,0,0,0,0,0,0,0.05253
155,gSXuuu,0.00,98.32,3.79,99.51,0,0,0,0,0,0,0.045100999999999995
156,p32T1h,120.11,60.57,129.51,66.14,0,0,0,0,0,0,0.52358
157,00qTFS,70.81,0.09,71.82,3.99,0,1,0,0,0.6013724528740072,3.720312934338377,0.03939
158,9qoAnZ,83.10,65.32,89.87,67.02,0,0,0,0,0,0,0.11508999999999998
159,1ODiUd,156.52,20.59,158.58,27.68,0,0,0,0,0,0,0.146054
160,55w3px,21.64,81.76,23.50,85.57,0,0,0,0,0,0,0.07086600000000001
161,KAWYKE,144.77,104.28,147.50,106.77,0,0,0,0,0,0,0.06797700000000001
162,P3qLt5,116.82,0.00,126.88,1.15,0,0,0,0,0,0,0.11568999999999999
163,gcX5O8,16.72,83.06,18.05,96.07,0,0,0,0,0,0,0.173033
164,spgXdt,133.13,26.46,134.82,27.67,0,0,0,0,0,0,0.020449
165,dPmz39,150.88,7.82,154.76,17.62,0,0,0,0,0,0,0.38024
166,rCO3lz,46.78,86.01,48.65,98.05,0,0,0,0,0,0,0.22514800000000001
167,QHiPR7,110.79,68.03,114.98,69.46,0,0,0,0,0,0,0.059917000000000005
168,GK9Ikc,60.40,117.42,63.09,121.82,0,0,0,0,0,0,0.11836
169,08CmW3,51.69,75.31,52.69,76.36,0,0,0,0,0,0,0.0105
170,UgrVQz,40.28,120.78,41.60,122.95,0,1,0,0,0,0,0.028644
171,LpKpPC,154.04,31.83,155.74,32.95,0,0,0,0,0,0,0.01904
172,TK5e6H,17.36,20.47,19.61,22.29,0,0,0,0,0,0,0.04095
173,aeVF2x,39.31,124.76,40.39,125.88,0,0,0,0,0,0,0.012096000000000003
174,5X3k2L,113.87,113.61,119.14,114.61,0,0,0,0,0,0,0.0527
175,JU1oLX,50.74,10.30,51.76,11.52,0,0,0,0,0,0,0.012444
176,RJ93en,57.78,26.14,68.36,30.10,0,0,0,0,0,0,0.418968
177,q71nau,90.95,10.65,92.71,25.24,0,0,0,0,0,0,0.256784
178,ASjtz7,150.68,22.42,152.45,35.58,0,0,0,0,0,0,0.232932
179,0u1dtu,160.00,71.85,164.80,80.94,0,0,0,0,0,0,0.43632
180,32ULdo,20.34,9.01,32.48,10.18,0,0,0,0,0,0,0.142038
181,Du9nq3,10.29,79.67,19.04,80.67,0,0,0,0,0,0,0.0875
182,9Evdhq,67.09,93.07,79.07,94.07,0,0,0,0,0,0,0.1198
183,g046ET,137.72,7.08,143.89,9.81,0,0,0,0,0,0,0.168441
184,Sy5A59,6.95,114.44,8.05,115.63,0,0,0,0,0,0,0.01309
185,e7BDgj,110.81,100.69,114.34,111.83,0,0,0,0,0,0,0.393242
186,XUfVwr,160.88,90.15,162.19,95.96,0,0,0,0,0,0,0.076111
187,aRY3qc,160.00,120.82,170.36,122.99,0,0,0,0,0,0,0.22481199999999998
188,2HY4Wb,114.07,115.76,115.07,123.13,0,0,0,1,0,0,0.0737
189,k7f18S,107.95,3.49,121.59,8.99,0,0,0,0,0,0,0.7502000000000001
190,hurHkf,30.69,17.52,38.49,18.63,0,0,0,0,0,0,0.08658000000000002
191,gpberI,60.87,30.77,62.00,31.99,0,0,0,0,0,0,0.013785999999999998
192,A52LHo,117.06,124.76,118.65,135.30,0,0,0,0,0,0,0.16758599999999998
193,nIWenM,53.91,57.24,55.49,67.41,0,0,0,1,0,0,0.160686
194,Nnb2vs,80.16,70.35,87.72,71.52,0,0,0,0,0,0,0.08845199999999999
195,ohA0wy,128.91,24.15,136.28,26.27,0,0,0,0,0,0,0.15624400000000002
196,5fVFgw,60.94,124.76,61.99,126.32,0,0,0,0,0,0,0.016380000000000002
197,HOl9T9,0.15,110.26,1.66,118.64,0,0,0,0,0,0,0.126538
198,CGRKBm,38.26,21.43,41.76,24.21,0,0,0,0,0,0,0.09729999999999998
199,IyoaPQ,84.40,105.72,86.52,110.68,0,0,0,0,0,0,0.105152
200,xSB9eH,27.76,29.89,29.61,31.11,0,0,0,0,0,0,0.02257
201,woMWGR,12.13,89.33,15.11,90.91,0,0,0,0,0,0,0.047084
202,H9TX9N,117.43,15.37,126.30,18.03,0,0,0,0,0,0,0.235942
203,D3zXeS,121.19,124.76,127.23,126.25,0,0,0,0,0,0,0.08999599999999999
204,veeSNz,150.87,90.84,153.33,100.75,0,0,0,0,0,0,0.24378599999999997
205,MDJnpY,34.58,87.62,44.29,88.63,0,0,0,0,0,0,0.098071
