,name,tl_y,tl_x,br_y,br_x,type,center,side,board,offset_x,offset_y,time
104,1|C186,122.9657,216.0725,126.2944,217.8895,0,0,0,0,0,0,0.060482
105,1|C187,164.1086,271.1625,171.3516,277.6635,0,0,0,0,0,0,0.470867
106,1|C188,174.5736,271.1625,181.8166,277.6635,0,0,0,0,0,0,0.470867
107,1|C189,163.9126,240.9055,171.1556,247.4065,0,0,0,0,0,0,0.470867
108,1|C19,24.92173,282.9293,28.08873,285.3627,0,0,0,0,0,0,0.077066
109,1|C190,174.3776,240.9055,181.6206,247.4065,0,0,0,0,0,0,0.470867
110,1|C191,170.9595,201.2054,171.6766,202.6884,0,0,0,0,0,0,0.010635
111,1|C192,174.0765,190.5964,175.5595,191.3136,0,0,0,0,0,0,0.010636
112,1|C193,180.0846,205.0884,181.5676,205.8056,0,0,0,0,0,0,0.010636
113,1|C194,184.4675,194.2136,185.1846,195.6966,0,0,0,0,0,0,0.010635
114,1|C195,32.67098,242.6731,32.96113,243.2731,0,0,0,0,0,0,0.001741
115,1|C196,32.67098,244.8061,32.96113,245.4061,0,0,0,0,0,0,0.001741
116,1|C197,32.67098,246.6861,32.96113,247.2861,0,0,0,0,0,0,0.001741
117,1|C198,32.67098,248.3111,32.96113,248.9111,0,0,0,0,0,0,0.001741
118,1|C199,32.67098,249.8101,32.96113,250.4101,0,0,0,0,0,0,0.001741
119,1|C2,7.974395,291.3517,10.40773,294.5187,0,0,0,0,0,0,0.077064
120,1|C20,5.43848,275.3524,6.80564,278.2354,0,0,0,0,0,0,0.039415
121,1|C200,34.03899,242.4459,34.63899,242.7361,0,0,0,0,0,0,0.001741
122,1|C201,34.03899,244.3759,34.63899,244.6661,0,0,0,0,0,0,0.001741
123,1|C202,34.03899,246.0519,34.63899,246.3421,0,0,0,0,0,0,0.001741
124,1|C203,34.03899,247.4749,34.63899,247.7651,0,0,0,0,0,0,0.001741
125,1|C204,34.03899,248.6429,34.63899,248.9331,0,0,0,0,0,0,0.001741
126,1|C205,34.03899,249.5579,34.63899,249.8481,0,0,0,0,0,0,0.001741
127,1|C206,34.03899,250.3449,34.63899,250.6351,0,0,0,0,0,0,0.001741
128,1|C207,36.93398,242.4459,37.53398,242.7361,0,0,0,0,0,0,0.001741
129,1|C208,36.67999,244.3759,37.27998,244.6661,0,0,0,0,0,0,0.001741
130,1|C209,36.42598,246.0519,37.02598,246.3421,0,0,0,0,0,0,0.001741
131,1|C21,7.59748,275.4794,8.96464,278.3624,0,0,0,0,0,0,0.039415
132,1|C210,36.17199,247.4749,36.77199,247.7651,0,0,0,0,0,0,0.001741
133,1|C211,35.91799,248.6429,36.51798,248.9331,0,0,0,0,0,0,0.001741
134,1|C212,35.66399,249.5579,36.26399,249.8481,0,0,0,0,0,0,0.001741
135,1|C213,35.537,250.3449,36.137,250.6351,0,0,0,0,0,0,0.001741
136,1|C214,36.85403,258.353,37.06611,258.695,0,0,0,0,0,0,0.000725
137,1|C215,36.85403,260.1049,37.06611,260.4469,0,0,0,0,0,0,0.000725
138,1|C216,36.85403,261.604,37.06611,261.946,0,0,0,0,0,0,0.000725
139,1|C217,36.85403,262.848,37.06611,263.19,0,0,0,0,0,0,0.000725
140,1|C218,36.85403,263.966,37.06611,264.308,0,0,0,0,0,0,0.000725
141,1|C219,38.05811,257.658,38.40011,257.8701,0,0,0,0,0,0,0.000725
142,1|C22,9.88349,275.8604,11.25065,278.7434,0,0,0,0,0,0,0.039415
143,1|C220,38.05811,259.4609,38.40011,259.673,0,0,0,0,0,0,0.000725
144,1|C221,38.05811,261.01,38.40011,261.222,0,0,0,0,0,0,0.000725
145,1|C222,38.05811,262.306,38.40011,262.518,0,0,0,0,0,0,0.000725
146,1|C223,38.05811,263.347,38.40011,263.559,0,0,0,0,0,0,0.000725
147,1|C224,38.05811,264.135,38.40011,264.347,0,0,0,0,0,0,0.000725
148,1|C225,38.05811,264.795,38.40011,265.007,0,0,0,0,0,0,0.000725
149,1|C226,40.57311,257.658,40.91511,257.8701,0,0,0,0,0,0,0.000725
150,1|C227,40.31911,259.4609,40.66111,259.673,0,0,0,0,0,0,0.000725
151,1|C228,40.06511,261.01,40.40711,261.222,0,0,0,0,0,0,0.000725
152,1|C229,39.8111,262.306,40.1531,262.518,0,0,0,0,0,0,0.000725
153,1|C23,12.42347,276.1144,13.79063,278.9974,0,0,0,0,0,0,0.039415
154,1|C230,39.5571,263.347,39.8991,263.559,0,0,0,0,0,0,0.000725
155,1|C231,39.3031,264.135,39.6451,264.347,0,0,0,0,0,0,0.000725
156,1|C232,39.1761,264.795,39.5181,265.007,0,0,0,0,0,0,0.000725
157,1|C24,15.21747,276.3684,16.58463,279.2514,0,0,0,0,0,0,0.039415
158,1|C25,18.26548,276.6224,19.63264,279.5054,0,0,0,0,0,0,0.039415
159,1|C26,21.56748,276.7494,22.93464,279.6324,0,0,0,0,0,0,0.039415
160,1|C27,5.43848,270.8564,6.80564,273.7394,0,0,0,0,0,0,0.039415
161,1|C28,7.59748,270.8564,8.96464,273.7394,0,0,0,0,0,0,0.039415
162,1|C29,9.88349,270.8564,11.25065,273.7394,0,0,0,0,0,0,0.039415
163,1|C3,11.17539,291.6057,13.60872,294.7727,0,0,0,0,0,0,0.077064
164,1|C30,12.42348,270.8564,13.79064,273.7394,0,0,0,0,0,0,0.039415
165,1|C31,15.21747,270.8564,16.58463,273.7394,0,0,0,0,0,0,0.039415
166,1|C32,18.26548,270.8564,19.63264,273.7394,0,0,0,0,0,0,0.039415
167,1|C33,21.56748,270.8564,22.93464,273.7394,0,0,0,0,0,0,0.039415
168,1|C34,5.74747,267.9144,8.63047,269.2816,0,0,0,0,0,0,0.039416
169,1|C35,10.19248,267.9144,13.07548,269.2816,0,0,0,0,0,0,0.039416
170,1|C36,14.81548,267.9144,17.69848,269.2816,0,0,0,0,0,0,0.039416
171,1|C37,19.69148,267.9144,22.57448,269.2816,0,0,0,0,0,0,0.039416
172,1|C38,5.58848,261.3824,6.65564,263.2494,0,0,0,0,0,0,0.019924
173,1|C39,7.44249,261.5094,8.50965,263.3764,0,0,0,0,0,0,0.019924
174,1|C4,14.6294,291.8597,17.06273,295.0267,0,0,0,0,0,0,0.077064
175,1|C40,9.42349,261.7634,10.49065,263.6304,0,0,0,0,0,0,0.019924
176,1|C41,11.65948,262.0174,12.72664,263.8844,0,0,0,0,0,0,0.019924
177,1|C42,14.14848,262.2714,15.21564,264.1384,0,0,0,0,0,0,0.019924
178,1|C43,16.89148,262.5254,17.95864,264.3924,0,0,0,0,0,0,0.019924
179,1|C44,19.88849,262.7794,20.95565,264.6464,0,0,0,0,0,0,0.019924
180,1|C45,5.58848,258.1054,6.65564,259.9724,0,0,0,0,0,0,0.019924
181,1|C46,7.44249,258.1054,8.50965,259.9724,0,0,0,0,0,0,0.019924
182,1|C47,9.42349,258.1054,10.49065,259.9724,0,0,0,0,0,0,0.019924
183,1|C48,11.65948,258.1054,12.72664,259.9724,0,0,0,0,0,0,0.019924
184,1|C49,14.14848,258.1054,15.21564,259.9724,0,0,0,0,0,0,0.019924
185,1|C5,18.33841,292.1137,20.77174,295.2807,0,0,0,0,0,0,0.077064
186,1|C50,16.89148,258.1054,17.95864,259.9724,0,0,0,0,0,0,0.019924
187,1|C51,19.88849,258.1054,20.95565,259.9724,0,0,0,0,0,0,0.019924
188,1|C52,5.21348,255.5674,7.08048,256.6346,0,0,0,0,0,0,0.019925
189,1|C53,8.43949,255.5674,10.30649,256.6346,0,0,0,0,0,0,0.019925
190,1|C54,11.84348,255.5674,13.71048,256.6346,0,0,0,0,0,0,0.019925
191,1|C55,15.50048,255.5674,17.36748,256.6346,0,0,0,0,0,0,0.019925
192,1|C56,19.41248,255.5674,21.27948,256.6346,0,0,0,0,0,0,0.019925
193,1|C57,5.77149,249.5686,6.48863,251.0516,0,0,0,0,0,0,0.010635
194,1|C58,7.1685,249.6956,7.88564,251.1786,0,0,0,0,0,0,0.010635
195,1|C59,8.6925,249.9496,9.40964,251.4326,0,0,0,0,0,0,0.010635
196,1|C6,22.30039,292.3677,24.73372,295.5347,0,0,0,0,0,0,0.077064
197,1|C60,10.4705,250.2036,11.18764,251.6866,0,0,0,0,0,0,0.010635
198,1|C61,12.5025,250.4576,13.21964,251.9406,0,0,0,0,0,0,0.010635
199,1|C62,14.78849,250.7116,15.50563,252.1946,0,0,0,0,0,0,0.010635
200,1|C63,17.32848,250.9656,18.04562,252.4486,0,0,0,0,0,0,0.010635
201,1|C64,5.77149,246.9526,6.48863,248.4356,0,0,0,0,0,0,0.010635
202,1|C65,7.1685,246.9526,7.88564,248.4356,0,0,0,0,0,0,0.010635
203,1|C66,8.6925,246.9526,9.40964,248.4356,0,0,0,0,0,0,0.010635
204,1|C67,10.4705,246.9526,11.18764,248.4356,0,0,0,0,0,0,0.010635
205,1|C68,12.5025,246.9526,13.21964,248.4356,0,0,0,0,0,0,0.010635
206,1|C69,14.78849,246.9526,15.50563,248.4356,0,0,0,0,0,0,0.010635
207,1|C7,26.51638,292.6217,28.94971,295.7887,0,0,0,0,0,0,0.077064
208,1|C70,17.32848,246.9526,18.04562,248.4356,0,0,0,0,0,0,0.010635
209,1|C71,5.36364,244.9394,6.84664,245.6566,0,0,0,0,0,0,0.010636
210,1|C72,7.97964,244.9394,9.46264,245.6566,0,0,0,0,0,0,0.010636
211,1|C73,10.72263,244.9134,12.20563,245.6306,0,0,0,0,0,0,0.010636
212,1|C74,13.71963,244.9394,15.20263,245.6566,0,0,0,0,0,0,0.010636
213,1|C75,16.97163,244.9394,18.45463,245.6566,0,0,0,0,0,0,0.010636
214,1|C76,5.872055,239.8615,6.380065,240.7865,0,0,0,0,0,0,0.004699
215,1|C77,6.913055,239.9875,7.421065,240.9125,0,0,0,0,0,0,0.004699
216,1|C78,8.082065,240.2415,8.590075,241.1665,0,0,0,0,0,0,0.004699
217,1|C79,9.504065,240.4955,10.01207,241.4205,0,0,0,0,0,0,0.004699
218,1|C8,4.901395,286.7287,7.334725,289.8957,0,0,0,0,0,0,0.077064
219,1|C80,11.18106,240.7495,11.68907,241.6745,0,0,0,0,0,0,0.004699
220,1|C81,13.11105,241.0035,13.61906,241.9285,0,0,0,0,0,0,0.004699
221,1|C82,15.29507,241.2575,15.80308,242.1825,0,0,0,0,0,0,0.004699
222,1|C83,5.872055,237.9055,6.380065,238.8305,0,0,0,0,0,0,0.004699
223,1|C84,6.913055,237.9055,7.421065,238.8305,0,0,0,0,0,0,0.004699
224,1|C85,8.082065,237.9055,8.590075,238.8305,0,0,0,0,0,0,0.004699
225,1|C86,9.504065,237.9055,10.01207,238.8305,0,0,0,0,0,0,0.004699
226,1|C87,11.18106,237.9055,11.68907,238.8305,0,0,0,0,0,0,0.004699
227,1|C88,13.11105,237.9055,13.61906,238.8305,0,0,0,0,0,0,0.004699
228,1|C89,15.29507,237.9055,15.80308,238.8305,0,0,0,0,0,0,0.004699
229,1|C9,7.974395,286.7287,10.40773,289.8957,0,0,0,0,0,0,0.077064
230,1|C90,5.892575,236.234,6.817575,236.742,0,0,0,0,0,0,0.004699
231,1|C91,7.847575,236.234,8.772575,236.742,0,0,0,0,0,0,0.004699
232,1|C92,9.930565,236.234,10.85556,236.742,0,0,0,0,0,0,0.004699
233,1|C93,12.26757,236.234,13.19258,236.742,0,0,0,0,0,0,0.004699
234,1|C94,14.85856,236.234,15.78356,236.742,0,0,0,0,0,0,0.004699
235,1|C95,5.980985,231.3609,6.271135,231.9609,0,0,0,0,0,0,0.001741
236,1|C96,6.767995,231.4879,7.058145,232.0879,0,0,0,0,0,0,0.001741
237,1|C97,7.682985,231.7419,7.973135,232.3419,0,0,0,0,0,0,0.001741
238,1|C98,8.850985,231.9959,9.141135,232.5959,0,0,0,0,0,0,0.001741
239,1|C99,10.27399,232.2499,10.56414,232.8499,0,0,0,0,0,0,0.001741
240,1|CN1,143.8841,206.375,145.5581,209.603,0,0,0,0,0,0,0.054037
241,1|CN10,147.9841,199.634,151.2121,201.308,0,0,0,0,0,0,0.054037
242,1|CN11,151.9971,199.634,155.2251,201.308,0,0,0,0,0,0,0.054037
243,1|CN2,147.0081,206.629,148.6821,209.857,0,0,0,0,0,0,0.054037
244,1|CN3,150.2591,206.883,151.9331,210.111,0,0,0,0,0,0,0.054037
245,1|CN4,153.7651,207.137,155.4391,210.365,0,0,0,0,0,0,0.054037
246,1|CN5,143.8841,202.489,145.5581,205.717,0,0,0,0,0,0,0.054037
247,1|CN6,147.0081,202.489,148.6821,205.717,0,0,0,0,0,0,0.054037
248,1|CN7,150.2591,202.489,151.9331,205.717,0,0,0,0,0,0,0.054037
249,1|CN8,153.7651,202.489,155.4391,205.717,0,0,0,0,0,0,0.054037
250,1|CN9,144.0981,199.634,147.3261,201.308,0,0,0,0,0,0,0.054037
251,1|D1,72.31157,184.1627,75.65257,188.9913,0,0,0,0,0,0,0.161324
252,1|D10,78.70477,171.4445,83.53334,174.7855,0,0,0,0,0,0,0.161323
253,1|D100,101.1222,174.295,103.2859,176.295,0,0,0,0,0,0,0.043274
254,1|D101,93.70523,171.602,95.86891,173.602,0,0,0,0,0,0,0.043274
255,1|D102,96.44322,171.002,98.6069,173.002,0,0,0,0,0,0,0.043274
256,1|D103,101.1222,171.602,103.2859,173.602,0,0,0,0,0,0,0.043274
257,1|D104,93.70523,168.402,95.86891,170.402,0,0,0,0,0,0,0.043274
258,1|D105,97.16022,168.402,99.3239,170.402,0,0,0,0,0,0,0.043274
259,1|D106,101.1222,168.402,103.2859,170.402,0,0,0,0,0,0,0.043274
260,1|D107,93.61391,162.8785,96.06423,165.6935,0,0,0,0,0,0,0.068977
261,1|D108,97.5259,162.8785,99.97622,165.6935,0,0,0,0,0,0,0.068977
262,1|D109,101.9449,162.8785,104.3952,165.6935,0,0,0,0,0,0,0.068976
263,1|D11,86.37577,171.4445,91.20434,174.7855,0,0,0,0,0,0,0.161323
264,1|D110,93.61391,159.3735,96.06423,162.1885,0,0,0,0,0,0,0.068977
265,1|D111,96.7059,158.6935,99.15622,161.5085,0,0,0,0,0,0,0.068977
266,1|D112,101.9449,159.3735,104.3952,162.1885,0,0,0,0,0,0,0.068976
267,1|D113,93.61391,155.3595,96.06423,158.1745,0,0,0,0,0,0,0.068977
268,1|D114,97.5259,155.3595,99.97622,158.1745,0,0,0,0,0,0,0.068977
269,1|D115,101.9449,155.3595,104.3952,158.1745,0,0,0,0,0,0,0.068976
270,1|D12,72.69807,162.8882,75.26607,167.3898,0,0,0,0,0,0,0.115601
271,1|D13,76.00006,163.1422,78.56806,167.6438,0,0,0,0,0,0,0.115601
272,1|D14,79.81006,163.3972,82.37806,167.8988,0,0,0,0,0,0,0.115601
273,1|D15,84.12807,163.6502,86.69607,168.1518,0,0,0,0,0,0,0.115601
274,1|D16,72.69807,156.8942,75.26607,161.3958,0,0,0,0,0,0,0.115601
275,1|D17,76.00006,156.8942,78.56806,161.3958,0,0,0,0,0,0,0.115601
276,1|D18,79.81006,156.8942,82.37806,161.3958,0,0,0,0,0,0,0.115601
277,1|D19,84.12807,156.8942,86.69607,161.3958,0,0,0,0,0,0,0.115601
278,1|D2,76.73156,184.4167,80.07256,189.2453,0,0,0,0,0,0,0.161324
279,1|D20,71.19826,152.705,75.69986,155.273,0,0,0,0,0,0,0.115601
280,1|D21,77.19226,152.705,81.69386,155.273,0,0,0,0,0,0,0.115601
281,1|D22,83.69426,152.705,88.19586,155.273,0,0,0,0,0,0,0.115601
282,1|D23,93.18599,263.9939,95.67215,268.7741,0,0,0,0,0,0,0.118843
283,1|D24,96.38597,264.2479,98.87213,269.0281,0,0,0,0,0,0,0.118843
284,1|D25,100.095,264.5019,102.5812,269.2821,0,0,0,0,0,0,0.118845
285,1|D26,104.311,264.7559,106.7972,269.5361,0,0,0,0,0,0,0.118845
286,1|D27,93.18599,257.4919,95.67215,262.2721,0,0,0,0,0,0,0.118843
287,1|D28,96.38597,257.4919,98.87213,262.2721,0,0,0,0,0,0,0.118843
288,1|D29,100.095,257.4919,102.5812,262.2721,0,0,0,0,0,0,0.118845
289,1|D3,81.65857,184.6707,84.99957,189.4993,0,0,0,0,0,0,0.161324
290,1|D30,104.311,257.4919,106.7972,262.2721,0,0,0,0,0,0,0.118845
291,1|D31,90.84495,253.2789,95.62519,255.7651,0,0,0,0,0,0,0.118846
292,1|D32,97.34795,253.2789,102.1282,255.7651,0,0,0,0,0,0,0.118847
293,1|D33,104.3579,253.2789,109.1382,255.7651,0,0,0,0,0,0,0.118848
294,1|D34,93.80404,245.9667,95.05407,249.4134,0,0,0,0,0,0,0.043085
295,1|D35,96.14104,246.2207,97.39107,249.6674,0,0,0,0,0,0,0.043085
296,1|D36,98.98604,246.4747,100.2361,249.9214,0,0,0,0,0,0,0.043086
297,1|D37,102.338,246.7287,103.5881,250.1754,0,0,0,0,0,0,0.043087
298,1|D38,93.80404,240.9367,95.05407,244.3834,0,0,0,0,0,0,0.043085
299,1|D39,96.14104,240.9367,97.39107,244.3834,0,0,0,0,0,0,0.043085
300,1|D4,87.09456,184.9247,90.43556,189.7533,0,0,0,0,0,0,0.161324
301,1|D40,98.98604,240.9367,100.2361,244.3834,0,0,0,0,0,0,0.043086
302,1|D41,102.338,240.9367,103.5881,244.3834,0,0,0,0,0,0,0.043087
303,1|D42,91.68978,237.844,95.13644,239.094,0,0,0,0,0,0,0.043083
304,1|D43,96.71878,237.844,100.1654,239.094,0,0,0,0,0,0,0.043083
305,1|D44,102.2558,237.844,105.7024,239.094,0,0,0,0,0,0,0.043083
306,1|D45,93.82905,231.7993,95.02909,233.8627,0,0,0,0,0,0,0.024762
307,1|D46,95.91204,232.0533,97.11208,234.1167,0,0,0,0,0,0,0.024762
308,1|D47,98.50303,232.3073,99.70307,234.3707,0,0,0,0,0,0,0.024762
309,1|D48,101.601,232.5613,102.8011,234.6247,0,0,0,0,0,0,0.024763
310,1|D49,93.82905,228.3443,95.02909,230.4077,0,0,0,0,0,0,0.024762
311,1|D5,72.31157,176.9997,75.65257,181.8283,0,0,0,0,0,0,0.161324
312,1|D50,95.91204,228.3443,97.11208,230.4077,0,0,0,0,0,0,0.024762
313,1|D51,98.50304,228.3443,99.70308,230.4077,0,0,0,0,0,0,0.024762
314,1|D52,101.601,228.3443,102.8011,230.4077,0,0,0,0,0,0,0.024763
315,1|D53,93.5754,225.499,95.63875,226.699,0,0,0,0,0,0,0.02476
316,1|D54,97.02938,225.499,99.09274,226.699,0,0,0,0,0,0,0.02476
317,1|D55,100.9924,225.499,103.0557,226.699,0,0,0,0,0,0,0.02476
318,1|D56,93.69555,218.0368,95.16255,221.7672,0,0,0,0,0,0,0.054725
319,1|D57,95.87955,218.2908,97.34655,222.0212,0,0,0,0,0,0,0.054725
320,1|D58,98.57255,218.5448,100.0396,222.2752,0,0,0,0,0,0,0.054727
