,name,tl_x,tl_y,br_x,br_y,type,center,side,board,offset_x,offset_y,time
45,8isyxo,17.41,2.71,19.73,5.66,0,0,0,0,0,0,0.06844
46,aQNRM4,35.91,68.85,40.25,80.84,0,0,0,0,0,0,0.520366
47,FyHOnZ,19.88,92.84,30.48,98.67,0,0,0,0,0,0,0.61798
48,PXHoxp,28.31,33.43,42.84,39.85,0,0,0,0,0,0,0.9328259999999999
49,3p64iM,43.78,92.75,47.90,95.00,0,0,0,0,0,0,0.09269999999999999
50,pftC6W,24.58,35.20,25.91,37.80,0,0,0,0,0,0,0.03458
51,mFWNUT,40.24,100.00,41.55,101.20,0,0,0,1,0,0,0.01572
52,ypFPCs,30.14,40.65,38.43,41.65,0,0,0,0,0,0,0.08289999999999999
53,mNofts,21.52,71.67,27.85,83.70,0,0,0,0,0,0,0.761499
54,4tRbhM,27.19,51.11,29.95,53.96,0,0,0,0,0,0,0.07866
55,mgmVgl,0.06,30.54,3.45,31.63,0,0,0,0,0,0,0.036951000000000005
56,hiO5PQ,27.27,4.50,33.94,12.15,0,0,0,0,0,0,0.510255
57,WeQ7Fj,43.78,89.40,44.82,92.51,0,0,0,0,0,0,0.032344
58,dI9XFp,5.30,32.41,9.04,33.89,0,0,0,0,0,0,0.055352000000000005
59,f8Cl1l,0.00,98.41,3.00,99.94,0,0,0,0,0,0,0.045899999999999996
60,uVSSNa,27.83,29.80,30.44,33.17,0,0,0,0,0,0,0.08795700000000001
61,AvI70U,10.11,40.54,14.24,42.31,0,0,0,0,0,0,0.073101
62,cT1hy0,43.78,74.07,47.18,75.86,0,0,0,0,0,0,0.060860000000000004
63,Et2rDo,43.78,45.41,52.63,49.29,0,0,0,0,0,0,0.34338
64,8HTaMj,6.94,0.26,8.23,7.29,0,0,0,0,0,0,0.090687
65,8vuafe,43.78,13.26,52.26,15.98,0,0,0,0,0,0,0.23065600000000003
66,IiRSOL,12.40,0.00,23.95,1.05,0,0,0,0,0,0,0.12127500000000001
67,kzV5y5,24.81,98.82,38.23,99.97,0,0,0,0,0,0,0.15432999999999997
68,7xtIxe,29.62,100.00,32.55,103.62,0,0,0,0,0,0,0.10606600000000001
69,VidxbD,3.84,0.00,5.01,6.08,0,0,0,0,0,0,0.071136
70,7JO7nk,24.45,100.00,25.45,101.00,0,0,0,0,0,0,0.01
71,v7tBos,20.60,100.00,23.01,112.23,0,0,0,0,0,0,0.29474300000000003
72,qRoq2x,9.77,0.00,11.58,4.02,0,0,0,0,0,0,0.072762
73,bXFuq4,39.02,62.93,40.76,67.75,0,0,0,0,0,0,0.08386800000000001
74,ZGqLSe,31.49,87.42,33.22,89.03,0,0,0,0,0,0,0.027853000000000003
75,Er7aSP,37.25,0.00,48.99,1.76,0,0,0,0,0,0,0.20662400000000003
76,n4eiCE,35.80,90.30,42.02,93.91,0,0,0,0,0,0,0.22454199999999996
77,BTH4RP,43.78,2.14,45.96,5.95,0,0,0,0,0,0,0.08305800000000002
78,YK13J2,20.56,4.49,21.79,8.45,0,0,0,0,0,0,0.048708
79,LEINVP,43.78,97.96,52.57,99.10,0,0,0,1,0,0,0.10020599999999998
80,OS6qQu,33.23,100.00,34.23,109.77,0,0,0,0,0,0,0.0977
81,qVrDh2,6.68,24.61,9.27,31.97,0,0,0,0,0,0,0.19062400000000002
82,zyzdOM,0.00,93.90,10.30,96.47,0,0,0,0,0,0,0.26471
83,qG0MlW,13.54,52.55,23.10,53.58,0,0,0,0,0,0,0.098468
84,j0cOdn,4.22,13.18,5.28,14.22,0,0,0,1,0,0,0.011024
