,name,tl_x,tl_y,br_x,br_y,type,center,side,board,offset_x,offset_y,time
37,I1pXIQ,0.00,56.94,1.10,59.83,0,0,0,0,0,0,0.031790000000000006
38,8PtdPn,32.25,83.11,34.65,87.55,0,0,0,0,0,0,0.10656
39,G8k9Ki,44.16,15.55,45.50,17.50,0,0,0,0,0,0,0.02613
40,fGn8ga,54.09,53.27,56.11,64.76,0,0,0,0,0,0,0.23209800000000003
41,EM4kEm,9.61,40.76,22.28,55.08,0,0,0,0,0,0,1.8143440000000002
42,JzXdEV,24.48,52.38,26.02,57.59,0,0,1,0,0,0,0.080234
43,NNOYLR,54.09,31.83,55.36,33.11,0,0,0,0,0,0,0.016256000000000003
44,yBL4pm,23.23,10.53,24.23,11.67,0,0,0,0,0,0,0.011399999999999999
45,RUve7c,28.28,37.18,31.06,38.21,0,0,0,0,0,0,0.028634
46,VhqbLe,27.92,7.38,34.99,9.66,0,0,0,0,0,0,0.16119599999999998
47,hUflYx,51.33,93.00,59.06,95.18,0,0,0,0,0,0,0.16851400000000002
48,Dj1p7c,46.87,1.22,47.97,9.41,0,0,0,0,0,0,0.09009
49,oESGZf,40.45,10.40,43.33,11.56,0,0,0,0,0,0,0.033408
50,Sa0mKx,0.00,93.00,2.09,95.77,0,0,0,0,0,0,0.057893
51,8RrK08,54.09,10.80,66.97,12.85,0,0,0,0,0,0,0.26404
52,oExpVg,54.09,25.08,59.76,27.63,0,0,0,0,0,0,0.144585
53,nDyuyX,48.46,35.37,52.11,36.75,0,0,0,0,0,0,0.05037
54,lLLOL6,37.78,5.57,40.31,7.91,0,0,0,0,0,0,0.059202
55,8fACkw,47.42,18.73,50.12,29.33,0,0,0,0,0,0,0.2862
56,3a77xK,53.49,47.08,58.76,49.58,0,0,0,0,0,0,0.13174999999999998
57,IdYW5x,10.42,84.95,11.51,88.38,0,0,0,0,0,0,0.037387000000000004
58,ozyP4n,20.82,70.20,22.20,71.93,0,0,0,0,0,0,0.023874
59,dYrXkn,23.38,71.18,27.48,72.53,0,0,0,0,0,0,0.05535
60,4kl8vH,22.91,20.31,30.04,22.98,0,0,0,0,0,0,0.19037099999999998
61,UKJK6f,9.35,66.31,17.26,69.50,0,0,0,0,0,0,0.252329
62,rU00EI,35.71,12.29,39.44,13.95,0,0,0,0,0,0,0.061918
63,dqFiwc,2.51,60.21,6.92,61.34,0,0,0,0,0,0,0.049832999999999995
64,W1LgpN,42.72,48.61,45.63,49.64,0,0,0,0,0,0,0.029973
65,22hokI,5.85,5.72,12.21,7.32,0,0,0,0,0,0,0.10176000000000002
66,mIzBUE,48.67,1.41,51.11,12.09,0,0,0,0,0,0,0.260592
67,ayN86t,10.16,12.85,11.45,15.66,0,0,0,0,0,0,0.036249
68,j5z0CR,27.80,25.35,37.02,31.29,0,0,0,0,0,0,0.5476680000000002
69,0lbKKa,47.97,43.94,49.22,45.26,0,0,0,0,0,0,0.0165
70,G9G5Bs,50.75,41.00,52.63,43.08,0,0,0,0,0,0,0.039104
71,rppztJ,46.06,82.97,53.77,86.21,0,0,0,0,0,0,0.24980400000000003
72,xONglQ,33.00,9.93,34.01,17.70,0,0,0,0,0,0,0.07847699999999999
73,cno2rK,10.62,55.39,13.57,57.32,0,0,0,0,0,0,0.056935
74,XeXoQO,52.60,53.67,53.66,55.51,0,0,0,0,0,0,0.019504
75,7knF8P,0.31,83.20,3.59,86.89,0,0,0,0,0,0,0.12103199999999999
76,p783pY,25.28,77.54,26.44,79.19,0,0,0,0,0,0,0.019139999999999997
77,2BX1PF,26.28,63.97,28.23,66.58,0,0,0,0,0,0,0.050894999999999996
78,RBd5Qn,54.09,77.06,57.14,78.35,0,0,0,0,0,0,0.039345
79,4fbmXk,26.66,44.99,27.69,53.15,0,0,0,0,0,0,0.084048
80,BdiYgo,20.88,80.72,24.35,87.32,0,0,0,0,0,0,0.22902
81,I7XV0B,36.09,49.60,39.78,51.99,0,0,0,0,0,0,0.088191
82,tW4s2t,6.56,46.82,8.58,48.29,0,0,0,0,0,0,0.029693999999999998
83,wYuQ0G,50.85,37.12,59.51,39.17,0,0,0,0,0,0,0.17753
84,mhTVdS,14.69,93.00,21.22,100.12,0,0,0,0,0,0,0.464936
85,owHbyA,34.87,33.89,36.06,39.91,0,0,0,0,0,0,0.071638
86,27KaGI,4.33,17.13,11.85,18.13,0,0,0,0,0,0,0.07519999999999999
87,hFphQi,41.63,51.38,43.18,56.35,0,0,1,0,0,0,0.077035
88,TnhBOk,39.83,93.00,46.56,94.40,1,0,0,0,0,0,0.09422000000000001
89,6cISsR,39.09,82.52,42.47,90.65,0,0,0,0,0,0,0.27479400000000004
90,kQWf73,17.65,12.19,19.06,16.73,0,0,0,0,0,0,0.064014
91,FsYIn0,38.54,0.00,41.98,1.32,0,0,0,0,0,0,0.045408
92,cG0RBk,50.11,47.19,51.30,48.31,0,0,0,0,0,0,0.013328
93,YlQp6C,37.67,35.05,39.25,36.29,0,0,0,0,0,0,0.019592000000000002
94,anCtaf,0.00,82.06,4.11,83.12,0,0,0,0,0,0,0.043566
95,J7KKY0,18.30,0.00,19.32,3.38,0,0,1,0,0,0,0.034476
96,zmrIuz,20.08,30.58,21.69,36.14,0,0,0,0,0,0,0.08951599999999998
97,S8JZKi,33.86,93.00,38.93,106.51,0,0,0,0,0,0,0.684957
98,n6CrcN,53.40,70.60,65.44,74.33,0,0,0,0,0,0,0.449092
99,7AsS9o,40.69,30.19,42.02,32.93,0,0,0,0,0,0,0.036442
100,fHfo4d,22.84,73.14,26.65,76.05,0,0,0,0,0,0,0.11087100000000001
101,LUzTmq,23.87,9.30,25.40,10.42,0,0,0,0,0,0,0.017136000000000002
102,x8UGWz,37.96,58.46,52.76,59.75,0,0,0,0,0,0,0.19092000000000003
103,A6FNKk,14.26,16.15,15.59,19.71,0,0,0,0,0,0,0.047348
104,mHc92Q,27.35,73.82,29.72,75.81,0,0,0,0,0,0,0.047163000000000004
105,xgholW,15.60,0.00,16.60,1.00,0,0,0,0,0,0,0.01
106,MRCVzH,25.56,1.84,29.18,4.22,0,0,0,0,0,0,0.08615600000000001
107,TB3BrS,0.00,78.93,5.25,81.17,0,0,0,0,0,0,0.11760000000000001
108,Qqe9jX,15.01,27.63,18.10,32.33,0,0,0,0,0,0,0.14523
109,KthSzi,28.64,53.25,30.27,59.44,0,0,0,0,0,0,0.100897
110,P9SWKV,54.09,49.63,56.12,50.96,0,0,0,0,0,0,0.026999
111,qP8m2E,20.88,0.00,24.21,7.96,0,0,0,0,0,0,0.265068
112,HfkzAJ,30.15,11.97,31.25,12.99,0,0,0,0,0,0,0.01122
113,vVEo3o,0.00,14.64,2.27,17.27,0,0,0,0,0,0,0.059701
114,bdDpJn,30.92,83.82,32.10,87.96,0,0,0,0,0,0,0.04885199999999999
115,NdVY1v,24.25,34.18,26.46,37.83,0,0,0,0,0,0,0.080665
116,ji0BXB,3.96,25.07,5.01,32.56,0,0,0,0,0,0,0.078645
117,HpZxqJ,31.16,50.46,32.30,57.10,0,0,0,0,0,0,0.07569599999999999
118,8gYimG,29.49,41.54,38.52,43.83,0,0,0,0,0,0,0.206787
119,032bpW,23.75,63.87,25.06,65.60,0,0,0,0,0,0,0.022663000000000003
